duration_ms,query_start
13.468464000150561,1586710604.7479644
16.070849999785423,1586715417.450841
12.809809000231326,1586716605.746065
18.523694000206888,1586723813.000493
12.26927400007844,1586726812.7105699
17.627828000113368,1586730405.374869
12.821272999979556,1586735234.9244752
12.864219999872148,1586742413.1785908
13.458064999897033,1586749025.071152
15.600441999733448,1586749570.797158
11.679275999777019,1586750170.5115893
19.956419000169262,1586756222.5871315
13.177792999893427,1586757405.8703861
14.716893999837339,1586758610.5968924
17.323207000270486,1586766412.8135996
15.89759499952197,1586767610.7957153
21.186078999191523,1586768170.8442879
20.01543700043112,1586768770.6680427
22.67986600007862,1586769370.4356847
12.311859000008553,1586771213.2024949
14.425750999711454,1586774804.9937887
15.502011000178754,1586781418.3445265
12.208259001374245,1586783825.2339416
11.82205000007525,1586786220.7245035
12.786615000106394,1586790413.3286602
23.422117999754846,1586790971.0102837
13.628726999275386,1586792812.7082095
24.199816999956965,1586793370.7454832
15.4327910002321,1586795213.1866667
11.618467000080273,1586805412.4284585
12.42066300008446,1586808413.024502
11.142686000093818,1586813213.456458
21.575534000061452,1586821012.772577
13.824709000065923,1586825800.7431254
12.731040999293327,1586828200.711401
11.856640001758933,1586828770.8764644
12.28049400029704,1586830604.733429
12.208000000566244,1586833614.0678587
16.036516999825835,1586835420.8920648
16.425093000754714,1586838416.7892623
11.937233000062406,1586841412.7669144
11.836593999527395,1586846817.4290905
14.771546999923885,1586847370.8823307
12.021789999678731,1586852821.3143647
15.709052000194788,1586854013.6748817
12.496040999889374,1586865417.6366386
16.911493999883533,1586866614.786952
13.507265999913216,1586867170.4974825
15.177019000053406,1586869620.9789627
15.975266000255942,1586871416.6873648
13.11540300026536,1586872604.9722087
16.803105999715626,1586876205.8068542
23.65745700057596,1586876771.0200868
16.369834000244737,1586878617.1400888
15.535765000153333,1586881014.458674
13.480147999711335,1586885812.9312463
22.355523999780416,1586886370.9280334
15.499466000124812,1586892437.962251
15.210482999915257,1586894221.214093
15.243580000009388,1586894770.590946
22.03802900016308,1586895370.5717313
12.628119999542832,1586896613.9129214
13.57090499997139,1586897170.9989374
16.48491800017655,1586898401.4364672
14.324039999395609,1586900804.505101
13.198902999982238,1586902612.9218152
14.088282000273466,1586903182.415754
13.282015000004321,1586908612.8407414
13.070526999421418,1586910404.9343576
13.79003500007093,1586913412.9368424
23.43532699998468,1586913970.5333645
13.249431001022458,1586915205.8013117
13.2695780005306,1586922401.6880536
11.766938999295235,1586929621.358981
14.438078999519348,1586945217.2283406
16.865942999720573,1586948804.7470295
12.876764999702573,1586951212.9332912
16.54861699976027,1586955412.975404
16.380238000303507,1586958413.2184806
16.283986000344157,1586960217.1279826
23.94292700011283,1586960771.0247803
14.436111999675632,1586966196.4406729
14.150169999804348,1586968012.8721247
13.110306000337005,1586970421.2992344
24.496635999530554,1586984226.407221
26.496236000210047,1586984772.0062208
15.184361000079662,1586989613.4898434
16.628534998744726,1586991462.910526
13.244651000015438,1586996822.4072878
15.49741300009191,1586999812.9038603
13.15747700072825,1587006417.812016
22.556700000539422,1587006970.3124514
14.492246000096202,1587007570.7251267
16.06748200021684,1587013017.1701338
23.535853000357747,1587013570.6950758
25.001924999058247,1587014170.8601546
16.91215099999681,1587016617.7430887
20.584270999766886,1587019012.684294
16.044336998835206,1587036408.9067745
12.117184000089765,1587037637.8605175
15.649108000099659,1587040013.0403502
19.153536999598145,1587041820.678071
12.831056000199169,1587044814.5406203
20.473685999400914,1587046613.254182
15.875392999500036,1587055622.1660473
14.693665999919176,1587061013.3246877
14.78230999968946,1587061570.6628025
12.361453999765217,1587065813.126529
16.397991000674665,1587067014.1171725
13.167774999514222,1587072413.2291858
14.142691999673843,1587082604.855809
25.905824000015855,1587083170.654649
14.023083999752998,1587092213.6055408
13.228652000427246,1587094605.9823792
14.281221000477672,1587097017.1915514
13.244688000064343,1587100600.7295551
15.17716300021857,1587103621.2185204
11.922131000086665,1587110204.6685889
20.330887999385595,1587112618.6274562
19.447642999701202,1587119221.1373572
14.185644000768661,1587124038.1433785
16.648920999839902,1587130612.9729373
13.06304799951613,1587132401.4769273
13.481690000277013,1587134825.5271559
16.13455200009048,1587142018.1987407
13.772303999401629,1587149213.1821127
14.861398000270128,1587154625.5071394
13.283918999601156,1587159405.8423338
14.055939000099897,1587169613.0983555
12.33739999961108,1587176813.5949223
22.136613000184298,1587177370.7739596
15.948608999606222,1587182213.202969
13.632523999549448,1587183413.416645
12.174722000025213,1587188793.466758
11.958121000789106,1587192413.5144784
12.396665000356734,1587200212.399211
16.51637899968773,1587205621.4879055
10.78660399839282,1587214600.2464728
